"spinglass (0.5,0.5)","spinglass (0.5,1)","spinglass (1,0.5)","spinglass (1,1)",sponge (k = 1),sponge (k = 2),sponge (k = 3),sponge (k = 4),sponge (k = 5),sponge (k = 6),sponge (k = 7),sponge (k = 8),sponge (k = 9),sponge (k = 10),username_vote
0,0,0,0,0,0,0,0,0,0,0,3,1,1,000113fe47e76b77570887d9a3539c5f57a715af
0,0,0,0,0,0,0,2,4,4,5,3,1,1,000265391c81401f3ebd653414b1330d942cd103
1,1,1,1,0,0,0,0,0,0,6,7,7,9,0002bf5ecd06a6a7d22565f80abe99538a99d5f2
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0003e19b9102bba76ae981e57fd77bfbd0b3df9b
1,0,1,1,0,0,0,0,0,0,0,3,1,1,000614c1608a193e65c9d588ce98006ccb6aa741
0,0,1,1,0,0,0,0,0,0,0,3,1,1,000a937e1a3eefa91205084b452b625cc25ccce0
1,1,1,1,0,0,0,0,0,0,6,7,7,9,000b2b9c728a45b39d4fe302df79f591206d2247
0,0,2,2,0,0,0,2,4,4,5,0,8,0,00172eb7ce0d14a475b513f5ed0724203bdd1500
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0017652fb014a1d9ae9f6fc8f9250bb9e061e030
0,0,0,0,0,0,0,0,0,0,0,3,1,1,001da67b4e97a29c87e5e48ea0455e393cdae012
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0021e6c48b4f0ac302f2a2b43371ac2bf49737ca
0,0,0,0,0,0,0,0,0,0,0,3,1,1,00230fad52f224e0770dd29e3759f6c1c3096e37
0,0,0,0,0,0,0,0,0,0,0,3,1,1,00376976d248c308638c9ea7863c66a2b8be0186
0,0,0,0,0,0,0,0,0,0,0,3,1,1,0038c6f23da6ca9c0ff0a442989bfe1b441bb943
0,0,2,2,0,0,0,2,4,4,5,0,8,0,003c8dd146a994d2a322285f2ced831235162181
0,0,2,2,0,0,0,2,4,4,5,0,8,0,003fd16d42934f7fc2b4cc535159a1dca1b3715a
0,0,1,1,0,0,0,0,0,0,0,3,1,1,00424fdfa61c5619d9042887790658e176e57d46
1,0,1,1,0,0,0,0,0,0,0,3,1,1,0048811eaa051d34ab9aee3f3077b35486aa7dc5
0,0,0,0,0,0,0,0,0,0,0,3,1,1,004ab548ad18b80381259958a3b008cf89737fcb
0,0,3,3,0,0,0,0,0,0,0,3,1,1,004b50d1f19c9cdc9f0e6bdcd8cdcd9e07609cf5
0,0,0,0,0,0,0,2,4,4,5,0,8,0,004f3d20a8e743a73c5c0fd4b92e72cf8c20a972
