level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11
1335,70,0,0,0,0,0,0,0,0,0,0
1208,80,0,0,0,0,0,0,0,0,0,0
217,39,0,0,0,0,0,0,0,0,0,0
819,47,0,0,0,0,0,0,0,0,0,0
1274,80,0,0,0,0,0,0,0,0,0,0
217,47,0,0,0,0,0,0,0,0,0,0
1032,75,0,0,0,0,0,0,0,0,0,0
1600,75,0,0,0,0,0,0,0,0,0,0
747,37,0,0,0,0,0,0,0,0,0,0
1368,54,0,0,0,0,0,0,0,0,0,0
819,7,0,0,0,0,0,0,0,0,0,0
1028,75,0,0,0,0,0,0,0,0,0,0
248,70,0,0,0,0,0,0,0,0,0,0
535,38,0,0,0,0,0,0,0,0,0,0
535,19,0,0,0,0,0,0,0,0,0,0
1274,43,0,0,0,0,0,0,0,0,0,0
254,63,0,0,0,0,0,0,0,0,0,0
1224,54,0,0,0,0,0,0,0,0,0,0
747,81,0,0,0,0,0,0,0,0,0,0
668,38,0,0,0,0,0,0,0,0,0,0
535,43,0,0,0,0,0,0,0,0,0,0
1335,21,0,0,0,0,0,0,0,0,0,0
842,20,0,0,0,0,0,0,0,0,0,0
747,37,0,0,0,0,0,0,0,0,0,0
1335,80,0,0,0,0,0,0,0,0,0,0
217,39,0,0,0,0,0,0,0,0,0,0
1368,80,0,0,0,0,0,0,0,0,0,0
1032,38,0,0,0,0,0,0,0,0,0,0
424,13,0,0,0,0,0,0,0,0,0,0
1093,31,0,0,0,0,0,0,0,0,0,0
1233,77,0,0,0,0,0,0,0,0,0,0
1446,15,0,0,0,0,0,0,0,0,0,0
254,77,0,0,0,0,0,0,0,0,0,0
1274,70,0,0,0,0,0,0,0,0,0,0
474,15,0,0,0,0,0,0,0,0,0,0
995,54,0,0,0,0,0,0,0,0,0,0
1570,70,0,0,0,0,0,0,0,0,0,0
1600,16,0,0,0,0,0,0,0,0,0,0
340,57,0,0,0,0,0,0,0,0,0,0
217,81,0,0,0,0,0,0,0,0,0,0
424,15,0,0,0,0,0,0,0,0,0,0
322,16,0,0,0,0,0,0,0,0,0,0
248,21,0,0,0,0,0,0,0,0,0,0
