level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11
826,35,0,0,0,0,0,0,0,0,0,0
1633,6,0,0,0,0,0,0,0,0,0,0
1057,4,0,0,0,0,0,0,0,0,0,0
1,19,0,0,0,0,0,0,0,0,0,0
70,11,0,0,0,0,0,0,0,0,0,0
70,56,0,0,0,0,0,0,0,0,0,0
1429,0,0,0,0,0,0,0,0,0,0,0
1057,6,0,0,0,0,0,0,0,0,0,0
1592,19,0,0,0,0,0,0,0,0,0,0
70,58,0,0,0,0,0,0,0,0,0,0
300,57,0,0,0,0,0,0,0,0,0,0
355,29,0,0,0,0,0,0,0,0,0,0
1057,19,0,0,0,0,0,0,0,0,0,0
401,57,0,0,0,0,0,0,0,0,0,0
326,4,0,0,0,0,0,0,0,0,0,0
1217,19,0,0,0,0,0,0,0,0,0,0
300,53,0,0,0,0,0,0,0,0,0,0
1057,0,0,0,0,0,0,0,0,0,0,0
1633,57,0,0,0,0,0,0,0,0,0,0
1058,59,0,0,0,0,0,0,0,0,0,0
1592,58,0,0,0,0,0,0,0,0,0,0
867,59,0,0,0,0,0,0,0,0,0,0
1592,6,0,0,0,0,0,0,0,0,0,0
325,29,0,0,0,0,0,0,0,0,0,0
1087,6,0,0,0,0,0,0,0,0,0,0
1058,56,0,0,0,0,0,0,0,0,0,0
1057,6,0,0,0,0,0,0,0,0,0,0
705,67,0,0,0,0,0,0,0,0,0,0
70,4,0,0,0,0,0,0,0,0,0,0
300,25,0,0,0,0,0,0,0,0,0,0
1057,32,0,0,0,0,0,0,0,0,0,0
401,56,0,0,0,0,0,0,0,0,0,0
401,60,0,0,0,0,0,0,0,0,0,0
70,35,0,0,0,0,0,0,0,0,0,0
300,67,0,0,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,0,0,0,0,0
826,7,0,0,0,0,0,0,0,0,0,0
1633,0,0,0,0,0,0,0,0,0,0,0
1529,6,0,0,0,0,0,0,0,0,0,0
384,3,0,0,0,0,0,0,0,0,0,0
791,11,0,0,0,0,0,0,0,0,0,0
845,6,0,0,0,0,0,0,0,0,0,0
401,56,0,0,0,0,0,0,0,0,0,0
384,11,0,0,0,0,0,0,0,0,0,0
22,57,0,0,0,0,0,0,0,0,0,0
1057,25,0,0,0,0,0,0,0,0,0,0
277,35,0,0,0,0,0,0,0,0,0,0
1217,12,0,0,0,0,0,0,0,0,0,0
325,57,0,0,0,0,0,0,0,0,0,0
1057,12,0,0,0,0,0,0,0,0,0,0
845,11,0,0,0,0,0,0,0,0,0,0
1633,56,0,0,0,0,0,0,0,0,0,0
1592,35,0,0,0,0,0,0,0,0,0,0
384,6,0,0,0,0,0,0,0,0,0,0
384,6,0,0,0,0,0,0,0,0,0,0
1057,31,0,0,0,0,0,0,0,0,0,0
325,67,0,0,0,0,0,0,0,0,0,0
325,6,0,0,0,0,0,0,0,0,0,0
1529,29,0,0,0,0,0,0,0,0,0,0
277,67,0,0,0,0,0,0,0,0,0,0
1,25,0,0,0,0,0,0,0,0,0,0
