level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11
114,84,0,0,0,0,0,0,0,0,0,0
947,16,0,0,0,0,0,0,0,0,0,0
947,39,0,0,0,0,0,0,0,0,0,0
369,64,0,0,0,0,0,0,0,0,0,0
1760,36,0,0,0,0,0,0,0,0,0,0
0,66,0,0,0,0,0,0,0,0,0,0
1553,36,0,0,0,0,0,0,0,0,0,0
591,77,0,0,0,0,0,0,0,0,0,0
369,51,0,0,0,0,0,0,0,0,0,0
1676,19,0,0,0,0,0,0,0,0,0,0
1269,82,0,0,0,0,0,0,0,0,0,0
1598,55,0,0,0,0,0,0,0,0,0,0
114,36,0,0,0,0,0,0,0,0,0,0
819,19,0,0,0,0,0,0,0,0,0,0
1358,60,0,0,0,0,0,0,0,0,0,0
300,75,0,0,0,0,0,0,0,0,0,0
380,60,0,0,0,0,0,0,0,0,0,0
380,9,0,0,0,0,0,0,0,0,0,0
300,51,0,0,0,0,0,0,0,0,0,0
1358,66,0,0,0,0,0,0,0,0,0,0
0,77,0,0,0,0,0,0,0,0,0,0
1012,74,0,0,0,0,0,0,0,0,0,0
114,54,0,0,0,0,0,0,0,0,0,0
560,51,0,0,0,0,0,0,0,0,0,0
743,82,0,0,0,0,0,0,0,0,0,0
1561,54,0,0,0,0,0,0,0,0,0,0
1676,66,0,0,0,0,0,0,0,0,0,0
1464,61,0,0,0,0,0,0,0,0,0,0
1220,61,0,0,0,0,0,0,0,0,0,0
114,39,0,0,0,0,0,0,0,0,0,0
757,54,0,0,0,0,0,0,0,0,0,0
1598,61,0,0,0,0,0,0,0,0,0,0
927,14,0,0,0,0,0,0,0,0,0,0
927,55,0,0,0,0,0,0,0,0,0,0
1269,12,0,0,0,0,0,0,0,0,0,0
599,82,0,0,0,0,0,0,0,0,0,0
1220,55,0,0,0,0,0,0,0,0,0,0
1220,8,0,0,0,0,0,0,0,0,0,0
300,51,0,0,0,0,0,0,0,0,0,0
1355,60,0,0,0,0,0,0,0,0,0,0
1676,19,0,0,0,0,0,0,0,0,0,0
300,61,0,0,0,0,0,0,0,0,0,0
1602,51,0,0,0,0,0,0,0,0,0,0
1676,8,0,0,0,0,0,0,0,0,0,0
927,59,0,0,0,0,0,0,0,0,0,0
819,61,0,0,0,0,0,0,0,0,0,0
1358,54,0,0,0,0,0,0,0,0,0,0
300,51,0,0,0,0,0,0,0,0,0,0
599,82,0,0,0,0,0,0,0,0,0,0
401,82,0,0,0,0,0,0,0,0,0,0
1012,82,0,0,0,0,0,0,0,0,0,0
300,66,0,0,0,0,0,0,0,0,0,0
300,72,0,0,0,0,0,0,0,0,0,0
927,77,0,0,0,0,0,0,0,0,0,0
819,15,0,0,0,0,0,0,0,0,0,0
1220,36,0,0,0,0,0,0,0,0,0,0
0,60,0,0,0,0,0,0,0,0,0,0
615,60,0,0,0,0,0,0,0,0,0,0
300,61,0,0,0,0,0,0,0,0,0,0
591,60,0,0,0,0,0,0,0,0,0,0
599,66,0,0,0,0,0,0,0,0,0,0
819,60,0,0,0,0,0,0,0,0,0,0
757,66,0,0,0,0,0,0,0,0,0,0
927,77,0,0,0,0,0,0,0,0,0,0
380,60,0,0,0,0,0,0,0,0,0,0
114,39,0,0,0,0,0,0,0,0,0,0
757,64,0,0,0,0,0,0,0,0,0,0
819,28,0,0,0,0,0,0,0,0,0,0
819,36,0,0,0,0,0,0,0,0,0,0
1760,19,0,0,0,0,0,0,0,0,0,0
743,19,0,0,0,0,0,0,0,0,0,0
599,50,0,0,0,0,0,0,0,0,0,0
300,19,0,0,0,0,0,0,0,0,0,0
380,28,0,0,0,0,0,0,0,0,0,0
114,55,0,0,0,0,0,0,0,0,0,0
1760,12,0,0,0,0,0,0,0,0,0,0
1676,15,0,0,0,0,0,0,0,0,0,0
