level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11
220,50,0,0,0,0,0,0,0,0,0,0
220,74,0,0,0,0,0,0,0,0,0,0
241,58,0,0,0,0,0,0,0,0,0,0
1408,25,0,0,0,0,0,0,0,0,0,0
213,24,0,0,0,0,0,0,0,0,0,0
172,78,0,0,0,0,0,0,0,0,0,0
937,73,0,0,0,0,0,0,0,0,0,0
812,56,0,0,0,0,0,0,0,0,0,0
937,25,0,0,0,0,0,0,0,0,0,0
1534,25,0,0,0,0,0,0,0,0,0,0
1386,98,0,0,0,0,0,0,0,0,0,0
755,15,0,0,0,0,0,0,0,0,0,0
1373,27,0,0,0,0,0,0,0,0,0,0
1373,26,0,0,0,0,0,0,0,0,0,0
755,78,0,0,0,0,0,0,0,0,0,0
1408,7,0,0,0,0,0,0,0,0,0,0
213,7,0,0,0,0,0,0,0,0,0,0
1386,67,0,0,0,0,0,0,0,0,0,0
1381,48,0,0,0,0,0,0,0,0,0,0
812,98,0,0,0,0,0,0,0,0,0,0
812,0,0,0,0,0,0,0,0,0,0,0
563,7,0,0,0,0,0,0,0,0,0,0
883,52,0,0,0,0,0,0,0,0,0,0
220,74,0,0,0,0,0,0,0,0,0,0
149,26,0,0,0,0,0,0,0,0,0,0
483,74,0,0,0,0,0,0,0,0,0,0
483,15,0,0,0,0,0,0,0,0,0,0
337,15,0,0,0,0,0,0,0,0,0,0
1408,15,0,0,0,0,0,0,0,0,0,0
937,3,0,0,0,0,0,0,0,0,0,0
238,67,0,0,0,0,0,0,0,0,0,0
337,78,0,0,0,0,0,0,0,0,0,0
1373,73,0,0,0,0,0,0,0,0,0,0
937,73,0,0,0,0,0,0,0,0,0,0
213,56,0,0,0,0,0,0,0,0,0,0
755,67,0,0,0,0,0,0,0,0,0,0
1534,67,0,0,0,0,0,0,0,0,0,0
1373,7,0,0,0,0,0,0,0,0,0,0
656,56,0,0,0,0,0,0,0,0,0,0
1126,15,0,0,0,0,0,0,0,0,0,0
337,15,0,0,0,0,0,0,0,0,0,0
755,34,0,0,0,0,0,0,0,0,0,0
1373,52,0,0,0,0,0,0,0,0,0,0
1126,29,0,0,0,0,0,0,0,0,0,0
1408,34,0,0,0,0,0,0,0,0,0,0
974,56,0,0,0,0,0,0,0,0,0,0
241,91,0,0,0,0,0,0,0,0,0,0
