level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10
229,7,0,0,0,0,0,0,0,0,0
277,7,0,0,0,0,0,0,0,0,0
893,0,2,0,0,0,0,0,0,0,0
465,2,0,0,0,0,0,0,0,0,0
277,2,0,0,0,0,0,0,0,0,0
28,8,0,0,0,0,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0
229,6,2,0,0,0,0,0,0,0,0
733,10,0,0,0,0,0,0,0,0,0
229,8,0,0,0,0,0,0,0,0,0
28,7,0,0,0,0,0,0,0,0,0
401,12,0,0,0,0,0,0,0,0,0
733,8,0,0,0,0,0,0,0,0,0
97,7,0,0,0,0,0,0,0,0,0
403,2,0,0,0,0,0,0,0,0,0
465,10,0,0,0,0,0,0,0,0,0
465,10,0,0,0,0,0,0,0,0,0
277,2,0,0,0,0,0,0,0,0,0
893,7,2,0,0,0,0,0,0,0,0
577,0,0,0,0,0,0,0,0,0,0
229,7,2,0,0,0,0,0,0,0,0
224,8,0,0,0,0,0,0,0,0,0
28,2,0,0,0,0,0,0,0,0,0
465,2,2,0,0,0,0,0,0,0,0
97,10,0,0,0,0,0,0,0,0,0
465,10,0,0,0,0,0,0,0,0,0
28,7,0,0,0,0,0,0,0,0,0
893,2,0,0,0,0,0,0,0,0,0
465,2,0,0,0,0,0,0,0,0,0
733,6,0,0,0,0,0,0,0,0,0
733,2,0,0,0,0,0,0,0,0,0
403,10,0,0,0,0,0,0,0,0,0
229,2,0,0,0,0,0,0,0,0,0
28,10,0,0,0,0,0,0,0,0,0
28,2,0,0,0,0,0,0,0,0,0
599,7,0,0,0,0,0,0,0,0,0
465,7,0,0,0,0,0,0,0,0,0
704,10,0,0,0,0,0,0,0,0,0
893,7,0,0,0,0,0,0,0,0,0
224,10,0,0,0,0,0,0,0,0,0
465,8,0,0,0,0,0,0,0,0,0
465,2,0,0,0,0,0,0,0,0,0
28,7,0,0,0,0,0,0,0,0,0
709,10,0,0,0,0,0,0,0,0,0
277,12,0,0,0,0,0,0,0,0,0
28,7,0,0,0,0,0,0,0,0,0
28,10,0,0,0,0,0,0,0,0,0
229,2,0,0,0,0,0,0,0,0,0
28,7,0,0,0,0,0,0,0,0,0
224,10,0,0,0,0,0,0,0,0,0
224,7,0,0,0,0,0,0,0,0,0
577,2,0,0,0,0,0,0,0,0,0
277,8,0,0,0,0,0,0,0,0,0
667,10,0,0,0,0,0,0,0,0,0
499,10,0,0,0,0,0,0,0,0,0
499,2,0,0,0,0,0,0,0,0,0
6,7,0,0,0,0,0,0,0,0,0
893,2,0,0,0,0,0,0,0,0,0
893,8,0,0,0,0,0,0,0,0,0
401,7,0,0,0,0,0,0,0,0,0
704,2,0,0,0,0,0,0,0,0,0
229,10,0,0,0,0,0,0,0,0,0
465,2,0,0,0,0,0,0,0,0,0
465,8,0,0,0,0,0,0,0,0,0
28,12,0,0,0,0,0,0,0,0,0
28,7,0,0,0,0,0,0,0,0,0
733,7,0,0,0,0,0,0,0,0,0
468,2,0,0,0,0,0,0,0,0,0
403,7,0,0,0,0,0,0,0,0,0
906,10,0,0,0,0,0,0,0,0,0
277,7,0,0,0,0,0,0,0,0,0
599,12,0,0,0,0,0,0,0,0,0
277,7,0,0,0,0,0,0,0,0,0
465,7,0,0,0,0,0,0,0,0,0
704,8,0,0,0,0,0,0,0,0,0
229,12,0,0,0,0,0,0,0,0,0
28,7,0,0,0,0,0,0,0,0,0
465,8,0,0,0,0,0,0,0,0,0
991,10,0,0,0,0,0,0,0,0,0
28,2,0,0,0,0,0,0,0,0,0
28,6,0,0,0,0,0,0,0,0,0
28,2,0,0,0,0,0,0,0,0,0
229,2,0,0,0,0,0,0,0,0,0
893,0,0,0,0,0,0,0,0,0,0
97,12,0,0,0,0,0,0,0,0,0
893,10,0,0,0,0,0,0,0,0,0
667,7,0,0,0,0,0,0,0,0,0
465,12,0,0,0,0,0,0,0,0,0
401,10,0,0,0,0,0,0,0,0,0
733,7,0,0,0,0,0,0,0,0,0
906,2,0,0,0,0,0,0,0,0,0
906,6,0,0,0,0,0,0,0,0,0
733,2,0,0,0,0,0,0,0,0,0
465,2,0,0,0,0,0,0,0,0,0
991,2,0,0,0,0,0,0,0,0,0
704,7,0,0,0,0,0,0,0,0,0
97,2,0,0,0,0,0,0,0,0,0
893,6,0,0,0,0,0,0,0,0,0
28,7,0,0,0,0,0,0,0,0,0
733,7,0,0,0,0,0,0,0,0,0
97,2,0,0,0,0,0,0,0,0,0
28,6,0,0,0,0,0,0,0,0,0
28,2,0,0,0,0,0,0,0,0,0
401,6,0,0,0,0,0,0,0,0,0
28,10,0,0,0,0,0,0,0,0,0
658,7,0,0,0,0,0,0,0,0,0
