level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10
327,1,6,6,0,0,0,0,0,0,0
651,23,3,6,0,0,0,0,0,0,0
248,4,9,3,0,0,0,0,0,0,0
60,23,4,3,0,0,0,0,0,0,0
60,30,4,6,0,0,0,0,0,0,0
272,8,6,6,0,0,0,0,0,0,0
60,30,6,3,0,0,0,0,0,0,0
60,30,9,4,0,0,0,0,0,0,0
60,23,3,6,0,0,0,0,0,0,0
113,30,3,6,0,0,0,0,0,0,0
651,4,0,3,0,0,0,0,0,0,0
248,30,3,3,0,0,0,0,0,0,0
312,23,6,0,0,0,0,0,0,0,0
272,30,3,0,0,0,0,0,0,0,0
60,0,9,0,0,0,0,0,0,0,0
387,8,1,0,0,0,0,0,0,0,0
248,1,0,0,0,0,0,0,0,0,0
272,30,6,0,0,0,0,0,0,0,0
928,8,6,0,0,0,0,0,0,0,0
248,0,3,0,0,0,0,0,0,0,0
60,23,3,0,0,0,0,0,0,0,0
351,23,0,0,0,0,0,0,0,0,0
134,1,1,0,0,0,0,0,0,0,0
312,23,7,0,0,0,0,0,0,0,0
419,8,7,0,0,0,0,0,0,0,0
928,8,7,0,0,0,0,0,0,0,0
419,21,6,0,0,0,0,0,0,0,0
312,23,1,0,0,0,0,0,0,0,0
60,23,7,0,0,0,0,0,0,0,0
60,21,1,0,0,0,0,0,0,0,0
174,4,3,0,0,0,0,0,0,0,0
113,23,0,0,0,0,0,0,0,0,0
312,30,0,0,0,0,0,0,0,0,0
312,4,0,0,0,0,0,0,0,0,0
60,30,0,0,0,0,0,0,0,0,0
60,23,0,0,0,0,0,0,0,0,0
321,8,0,0,0,0,0,0,0,0,0
327,23,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
272,22,0,0,0,0,0,0,0,0,0
468,4,0,0,0,0,0,0,0,0,0
134,22,0,0,0,0,0,0,0,0,0
272,4,0,0,0,0,0,0,0,0,0
928,2,0,0,0,0,0,0,0,0,0
113,5,0,0,0,0,0,0,0,0,0
351,30,0,0,0,0,0,0,0,0,0
272,23,0,0,0,0,0,0,0,0,0
387,22,0,0,0,0,0,0,0,0,0
312,4,0,0,0,0,0,0,0,0,0
248,30,0,0,0,0,0,0,0,0,0
312,23,0,0,0,0,0,0,0,0,0
174,1,0,0,0,0,0,0,0,0,0
174,8,0,0,0,0,0,0,0,0,0
419,1,0,0,0,0,0,0,0,0,0
272,23,0,0,0,0,0,0,0,0,0
60,8,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0,0,0
468,22,0,0,0,0,0,0,0,0,0
60,23,0,0,0,0,0,0,0,0,0
60,1,0,0,0,0,0,0,0,0,0
272,23,0,0,0,0,0,0,0,0,0
351,4,0,0,0,0,0,0,0,0,0
272,23,0,0,0,0,0,0,0,0,0
327,23,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0,0,0
419,1,0,0,0,0,0,0,0,0,0
174,23,0,0,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,0,0,0
134,30,0,0,0,0,0,0,0,0,0
387,22,0,0,0,0,0,0,0,0,0
113,1,0,0,0,0,0,0,0,0,0
134,23,0,0,0,0,0,0,0,0,0
248,23,0,0,0,0,0,0,0,0,0
327,7,0,0,0,0,0,0,0,0,0
351,23,0,0,0,0,0,0,0,0,0
60,23,0,0,0,0,0,0,0,0,0
60,8,0,0,0,0,0,0,0,0,0
327,23,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0
248,23,0,0,0,0,0,0,0,0,0
248,23,0,0,0,0,0,0,0,0,0
272,1,0,0,0,0,0,0,0,0,0
60,4,0,0,0,0,0,0,0,0,0
60,5,0,0,0,0,0,0,0,0,0
60,1,0,0,0,0,0,0,0,0,0
60,30,0,0,0,0,0,0,0,0,0
928,23,0,0,0,0,0,0,0,0,0
327,4,0,0,0,0,0,0,0,0,0
327,4,0,0,0,0,0,0,0,0,0
248,4,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0
351,1,0,0,0,0,0,0,0,0,0
248,1,0,0,0,0,0,0,0,0,0
248,1,0,0,0,0,0,0,0,0,0
134,8,0,0,0,0,0,0,0,0,0
387,8,0,0,0,0,0,0,0,0,0
60,23,0,0,0,0,0,0,0,0,0
248,23,0,0,0,0,0,0,0,0,0
60,8,0,0,0,0,0,0,0,0,0
60,5,0,0,0,0,0,0,0,0,0
60,23,0,0,0,0,0,0,0,0,0
321,8,0,0,0,0,0,0,0,0,0
387,4,0,0,0,0,0,0,0,0,0
60,30,0,0,0,0,0,0,0,0,0
272,8,0,0,0,0,0,0,0,0,0
248,23,0,0,0,0,0,0,0,0,0
248,8,0,0,0,0,0,0,0,0,0
327,22,0,0,0,0,0,0,0,0,0
60,8,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0
134,23,0,0,0,0,0,0,0,0,0
134,30,0,0,0,0,0,0,0,0,0
468,4,0,0,0,0,0,0,0,0,0
60,23,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
113,1,0,0,0,0,0,0,0,0,0
327,7,0,0,0,0,0,0,0,0,0
928,0,0,0,0,0,0,0,0,0,0
272,23,0,0,0,0,0,0,0,0,0
272,30,0,0,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,0,0,0
60,30,0,0,0,0,0,0,0,0,0
327,23,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
351,30,0,0,0,0,0,0,0,0,0
928,5,0,0,0,0,0,0,0,0,0
928,0,0,0,0,0,0,0,0,0,0
60,5,0,0,0,0,0,0,0,0,0
60,1,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
351,8,0,0,0,0,0,0,0,0,0
312,8,0,0,0,0,0,0,0,0,0
272,30,0,0,0,0,0,0,0,0,0
468,8,0,0,0,0,0,0,0,0,0
352,1,0,0,0,0,0,0,0,0,0
272,8,0,0,0,0,0,0,0,0,0
928,4,0,0,0,0,0,0,0,0,0
248,30,0,0,0,0,0,0,0,0,0
468,4,0,0,0,0,0,0,0,0,0
272,30,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0,0
134,23,0,0,0,0,0,0,0,0,0
468,23,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0
419,23,0,0,0,0,0,0,0,0,0
248,8,0,0,0,0,0,0,0,0,0
60,2,0,0,0,0,0,0,0,0,0
60,1,0,0,0,0,0,0,0,0,0
351,1,0,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0,0,0
312,30,0,0,0,0,0,0,0,0,0
248,1,0,0,0,0,0,0,0,0,0
60,23,0,0,0,0,0,0,0,0,0
928,23,0,0,0,0,0,0,0,0,0
134,8,0,0,0,0,0,0,0,0,0
327,0,0,0,0,0,0,0,0,0,0
60,5,0,0,0,0,0,0,0,0,0
248,22,0,0,0,0,0,0,0,0,0
60,22,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0
312,30,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0
134,23,0,0,0,0,0,0,0,0,0
327,30,0,0,0,0,0,0,0,0,0
60,1,0,0,0,0,0,0,0,0,0
272,5,0,0,0,0,0,0,0,0,0
272,1,0,0,0,0,0,0,0,0,0
468,2,0,0,0,0,0,0,0,0,0
312,1,0,0,0,0,0,0,0,0,0
321,8,0,0,0,0,0,0,0,0,0
272,22,0,0,0,0,0,0,0,0,0
134,23,0,0,0,0,0,0,0,0,0
312,5,0,0,0,0,0,0,0,0,0
272,22,0,0,0,0,0,0,0,0,0
248,23,0,0,0,0,0,0,0,0,0
60,8,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,0,0,0
60,30,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
352,4,0,0,0,0,0,0,0,0,0
327,5,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0,0,0,0
327,1,0,0,0,0,0,0,0,0,0
60,8,0,0,0,0,0,0,0,0,0
468,8,0,0,0,0,0,0,0,0,0
248,23,0,0,0,0,0,0,0,0,0
60,30,0,0,0,0,0,0,0,0,0
60,23,0,0,0,0,0,0,0,0,0
248,23,0,0,0,0,0,0,0,0,0
113,23,0,0,0,0,0,0,0,0,0
468,23,0,0,0,0,0,0,0,0,0
312,1,0,0,0,0,0,0,0,0,0
174,8,0,0,0,0,0,0,0,0,0
60,4,0,0,0,0,0,0,0,0,0
387,1,0,0,0,0,0,0,0,0,0
248,22,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0
327,1,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0
272,8,0,0,0,0,0,0,0,0,0
60,8,0,0,0,0,0,0,0,0,0
