level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10
472,12,1,0,0,0,0,0,0,0,0
472,0,2,0,0,0,0,0,0,0,0
82,19,2,0,0,0,0,0,0,0,0
127,19,2,0,0,0,0,0,0,0,0
367,19,1,0,0,0,0,0,0,0,0
127,16,1,0,0,0,0,0,0,0,0
367,12,2,0,0,0,0,0,0,0,0
472,12,1,0,0,0,0,0,0,0,0
424,12,1,0,0,0,0,0,0,0,0
424,12,1,0,0,0,0,0,0,0,0
453,0,1,0,0,0,0,0,0,0,0
424,19,1,0,0,0,0,0,0,0,0
232,16,2,0,0,0,0,0,0,0,0
424,12,1,0,0,0,0,0,0,0,0
441,0,2,0,0,0,0,0,0,0,0
404,5,2,0,0,0,0,0,0,0,0
472,5,1,0,0,0,0,0,0,0,0
424,19,1,0,0,0,0,0,0,0,0
404,19,2,0,0,0,0,0,0,0,0
453,16,2,0,0,0,0,0,0,0,0
367,5,2,0,0,0,0,0,0,0,0
424,12,1,0,0,0,0,0,0,0,0
424,16,2,0,0,0,0,0,0,0,0
232,16,0,0,0,0,0,0,0,0,0
424,5,0,0,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0,0,0,0
424,19,0,0,0,0,0,0,0,0,0
441,5,0,0,0,0,0,0,0,0,0
404,12,0,0,0,0,0,0,0,0,0
404,16,0,0,0,0,0,0,0,0,0
472,12,0,0,0,0,0,0,0,0,0
404,16,0,0,0,0,0,0,0,0,0
82,12,0,0,0,0,0,0,0,0,0
441,0,0,0,0,0,0,0,0,0,0
404,19,0,0,0,0,0,0,0,0,0
404,16,0,0,0,0,0,0,0,0,0
472,12,0,0,0,0,0,0,0,0,0
472,19,0,0,0,0,0,0,0,0,0
472,19,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0,0,0,0
150,12,0,0,0,0,0,0,0,0,0
404,5,0,0,0,0,0,0,0,0,0
441,12,0,0,0,0,0,0,0,0,0
